Full,Industry,Jobs
Rhode Island,"      Mining, quarrying, and oil and gas extraction",488
Rhode Island,      Utilities,2086
Rhode Island,      Construction,33648
Rhode Island,      Manufacturing,42341
Rhode Island,      Wholesale trade,18311
Rhode Island,      Retail trade,57822
Rhode Island,      Transportation and warehousing,27037
Rhode Island,      Information,8081
Rhode Island,      Finance and insurance,42642
Rhode Island,      Real estate and rental and leasing,37400
Rhode Island,"      Professional, scientific, and technical services",48213
Rhode Island,      Management of companies and enterprises,12473
Rhode Island,      Administrative and support and waste management and remediation services,37052
Rhode Island,      Educational services,33121
Rhode Island,      Health care and social assistance,88020
Rhode Island,"      Arts, entertainment, and recreation",15587
Rhode Island,      Accommodation and food services,53289
Rhode Island,      Other services (except government and government enterprises),34061
Rhode Island,    Government and government enterprises,73872
South Carolina,Employment by place of work,
South Carolina,Total employment (number of jobs),3067127
South Carolina,By industry,
South Carolina,  Farm employment,27503
South Carolina,"      Forestry, fishing, and related activities",12432
South Carolina,"      Mining, quarrying, and oil and gas extraction",3942
South Carolina,      Utilities,11614
South Carolina,      Construction,177652
South Carolina,      Manufacturing,271340
South Carolina,      Wholesale trade,90328
South Carolina,      Retail trade,316264
South Carolina,      Transportation and warehousing,143851
South Carolina,      Information,38736
South Carolina,      Finance and insurance,149595
South Carolina,      Real estate and rental and leasing,171311
South Carolina,"      Professional, scientific, and technical services",187183
South Carolina,      Management of companies and enterprises,29845
South Carolina,      Administrative and support and waste management and remediation services,230100
South Carolina,      Educational services,49296
South Carolina,      Health care and social assistance,256121
South Carolina,"      Arts, entertainment, and recreation",59880
South Carolina,      Accommodation and food services,254173
South Carolina,      Other services (except government and government enterprises),183111
South Carolina,    Government and government enterprises,402850
South Dakota,Employment by place of work,
South Dakota,Total employment (number of jobs),647960
South Dakota,By industry,
South Dakota,  Farm employment,32848
South Dakota,"      Forestry, fishing, and related activities",6359
South Dakota,"      Mining, quarrying, and oil and gas extraction",2399
South Dakota,      Utilities,2115
South Dakota,      Construction,38952
South Dakota,      Manufacturing,47401
South Dakota,      Wholesale trade,24011
South Dakota,      Retail trade,67453
South Dakota,      Transportation and warehousing,21021
South Dakota,      Information,7286
South Dakota,      Finance and insurance,45206
South Dakota,      Real estate and rental and leasing,34837
South Dakota,"      Professional, scientific, and technical services",27882
South Dakota,      Management of companies and enterprises,6417
South Dakota,      Administrative and support and waste management and remediation services,20917
South Dakota,      Educational services,10689
South Dakota,      Health care and social assistance,74940
South Dakota,"      Arts, entertainment, and recreation",13083
South Dakota,      Accommodation and food services,45325
South Dakota,      Other services (except government and government enterprises),32020
South Dakota,    Government and government enterprises,86799
Tennessee,Employment by place of work,
Tennessee,Total employment (number of jobs),4506394
Tennessee,By industry,
Tennessee,  Farm employment,75180
Tennessee,"      Forestry, fishing, and related activities",11695
Tennessee,"      Mining, quarrying, and oil and gas extraction",7963
Tennessee,      Utilities,4797
Tennessee,      Construction,266322
Tennessee,      Manufacturing,383023
Tennessee,      Wholesale trade,143728
Tennessee,      Retail trade,434129
Tennessee,      Transportation and warehousing,294538
Tennessee,      Information,69867
Tennessee,      Finance and insurance,235111
Tennessee,      Real estate and rental and leasing,218009
Tennessee,"      Professional, scientific, and technical services",274264
Tennessee,      Management of companies and enterprises,58775
Tennessee,      Administrative and support and waste management and remediation services,334232
Tennessee,      Educational services,90259
Tennessee,      Health care and social assistance,449740
Tennessee,"      Arts, entertainment, and recreation",100101
Tennessee,      Accommodation and food services,334891
Tennessee,      Other services (except government and government enterprises),268688
Tennessee,    Government and government enterprises,451082
Texas,Employment by place of work,
Texas,Total employment (number of jobs),19631436
Texas,By industry,
Texas,  Farm employment,273763
Texas,"      Forestry, fishing, and related activities",67486
Texas,"      Mining, quarrying, and oil and gas extraction",369093
Texas,      Utilities,62244
Texas,      Construction,1329912
Texas,      Manufacturing,1005501
Texas,      Wholesale trade,709293
Texas,      Retail trade,1755470
Texas,      Transportation and warehousing,1135209
Texas,      Information,300398
Texas,      Finance and insurance,1422491
Texas,      Real estate and rental and leasing,1041348
Texas,"      Professional, scientific, and technical services",1489923
Texas,      Management of companies and enterprises,253642
Texas,      Administrative and support and waste management and remediation services,1330700
Texas,      Educational services,324841
Texas,      Health care and social assistance,1821014
Texas,"      Arts, entertainment, and recreation",310360
Texas,      Accommodation and food services,1411591
Texas,      Other services (except government and government enterprises),1104379
Texas,    Government and government enterprises,2112778
Utah,Employment by place of work,
Utah,Total employment (number of jobs),2367996
Utah,By industry,
Utah,  Farm employment,21081
Utah,"      Forestry, fishing, and related activities",4704
Utah,"      Mining, quarrying, and oil and gas extraction",13730
Utah,      Utilities,5064
Utah,      Construction,166041
Utah,      Manufacturing,160756
Utah,      Wholesale trade,65904
Utah,      Retail trade,235054
Utah,      Transportation and warehousing,105686
Utah,      Information,54369
Utah,      Finance and insurance,174506
Utah,      Real estate and rental and leasing,154826
Utah,"      Professional, scientific, and technical services",194639
Utah,      Management of companies and enterprises,36775
Utah,      Administrative and support and waste management and remediation services,121592
Utah,      Educational services,77750
Utah,      Health care and social assistance,193936
Utah,"      Arts, entertainment, and recreation",51311
Utah,      Accommodation and food services,145448
Utah,      Other services (except government and government enterprises),111237
Utah,    Government and government enterprises,273587
Vermont,Employment by place of work,
Vermont,Total employment (number of jobs),436306
Vermont,By industry,
Vermont,  Farm employment,9359
Vermont,"      Forestry, fishing, and related activities",3375
Vermont,"      Mining, quarrying, and oil and gas extraction",1513
Vermont,      Utilities,1583
Vermont,      Construction,29182
Vermont,      Manufacturing,32382
Vermont,      Wholesale trade,10519
Vermont,      Retail trade,45749
Vermont,      Transportation and warehousing,9852
Vermont,      Information,6350
Vermont,      Finance and insurance,16665
Vermont,      Real estate and rental and leasing,20540
Vermont,"      Professional, scientific, and technical services",31367
Vermont,      Management of companies and enterprises,2402
Vermont,      Administrative and support and waste management and remediation services,19944
Vermont,      Educational services,17805
Vermont,      Health care and social assistance,57369
Vermont,"      Arts, entertainment, and recreation",11512
Vermont,      Accommodation and food services,32325
Vermont,      Other services (except government and government enterprises),21668
Vermont,    Government and government enterprises,54845
Virginia,Employment by place of work,
Virginia,Total employment (number of jobs),5599585
Virginia,By industry,
Virginia,  Farm employment,45900
Virginia,"      Forestry, fishing, and related activities",13625
Virginia,"      Mining, quarrying, and oil and gas extraction",9153
Virginia,      Utilities,11606
Virginia,      Construction,321219
Virginia,      Manufacturing,258604
Virginia,      Wholesale trade,129262
Virginia,      Retail trade,519275
Virginia,      Transportation and warehousing,274811
Virginia,      Information,92656
Virginia,      Finance and insurance,275590
Virginia,      Real estate and rental and leasing,292070
Virginia,"      Professional, scientific, and technical services",620179
Virginia,      Management of companies and enterprises,92830
Virginia,      Administrative and support and waste management and remediation services,342218
Virginia,      Educational services,113641
Virginia,      Health care and social assistance,530153
Virginia,"      Arts, entertainment, and recreation",115195
Virginia,      Accommodation and food services,361453
Virginia,      Other services (except government and government enterprises),317938
Virginia,    Government and government enterprises,862207
Washington,Employment by place of work,
Washington,Total employment (number of jobs),4815623
Washington,By industry,
Washington,  Farm employment,89467
Washington,"      Forestry, fishing, and related activities",42291
Washington,"      Mining, quarrying, and oil and gas extraction",6348
Washington,      Utilities,6229
Washington,      Construction,293062
Washington,      Manufacturing,284968
Washington,      Wholesale trade,151031
Washington,      Retail trade,426379
Washington,      Transportation and warehousing,252417
Washington,      Information,193803
Washington,      Finance and insurance,211247
Washington,      Real estate and rental and leasing,258438
Washington,"      Professional, scientific, and technical services",391687
Washington,      Management of companies and enterprises,110782
Washington,      Administrative and support and waste management and remediation services,236797
Washington,      Educational services,82243
Washington,      Health care and social assistance,511226
Washington,"      Arts, entertainment, and recreation",100348
Washington,      Accommodation and food services,300278
Washington,      Other services (except government and government enterprises),218666
Washington,    Government and government enterprises,647916
West Virginia,Employment by place of work,
West Virginia,Total employment (number of jobs),890610
West Virginia,By industry,
West Virginia,  Farm employment,22338
West Virginia,"      Forestry, fishing, and related activities",2994
West Virginia,"      Mining, quarrying, and oil and gas extraction",24806
West Virginia,      Utilities,5551
West Virginia,      Construction,45150
West Virginia,      Manufacturing,48883
West Virginia,      Wholesale trade,21064
West Virginia,      Retail trade,97670
West Virginia,      Transportation and warehousing,33234
West Virginia,      Information,10179
West Virginia,      Finance and insurance,29259
West Virginia,      Real estate and rental and leasing,31599
West Virginia,"      Professional, scientific, and technical services",42589
West Virginia,      Management of companies and enterprises,8800
West Virginia,      Administrative and support and waste management and remediation services,46004
West Virginia,      Educational services,12919
West Virginia,      Health care and social assistance,128835
West Virginia,"      Arts, entertainment, and recreation",15105
West Virginia,      Accommodation and food services,65901
West Virginia,      Other services (except government and government enterprises),46059
West Virginia,    Government and government enterprises,151671
Wisconsin,Employment by place of work,
Wisconsin,Total employment (number of jobs),3819180
Wisconsin,By industry,
Wisconsin,  Farm employment,85484
Wisconsin,"      Forestry, fishing, and related activities",11126
Wisconsin,"      Mining, quarrying, and oil and gas extraction",11126
Wisconsin,      Utilities,8631
Wisconsin,      Construction,196176
Wisconsin,      Manufacturing,498082
Wisconsin,      Wholesale trade,140598
Wisconsin,      Retail trade,377281
Wisconsin,      Transportation and warehousing,175071
Wisconsin,      Information,57824
Wisconsin,      Finance and insurance,212300
Wisconsin,      Real estate and rental and leasing,163042
Wisconsin,"      Professional, scientific, and technical services",194345
Wisconsin,      Management of companies and enterprises,68852
Wisconsin,      Administrative and support and waste management and remediation services,176759
Wisconsin,      Educational services,70308
Wisconsin,      Health care and social assistance,435496
Wisconsin,"      Arts, entertainment, and recreation",75520
Wisconsin,      Accommodation and food services,249004
Wisconsin,      Other services (except government and government enterprises),188388
Wisconsin,    Government and government enterprises,423767
Wyoming,Employment by place of work,
Wyoming,Total employment (number of jobs),436564
Wyoming,By industry,
Wyoming,  Farm employment,14283
Wyoming,"      Forestry, fishing, and related activities",3462
Wyoming,"      Mining, quarrying, and oil and gas extraction",20789
Wyoming,      Utilities,7478
Wyoming,      Construction,30141
Wyoming,      Manufacturing,7479
Wyoming,      Wholesale trade,9396
Wyoming,      Retail trade,39902
Wyoming,      Transportation and warehousing,17567
Wyoming,      Information,4905
Wyoming,      Finance and insurance,35536
Wyoming,      Real estate and rental and leasing,34015
Wyoming,"      Professional, scientific, and technical services",21334
Wyoming,      Management of companies and enterprises,2656
Wyoming,      Administrative and support and waste management and remediation services,15081
Wyoming,      Educational services,4744
Wyoming,      Health care and social assistance,30888
Wyoming,"      Arts, entertainment, and recreation",8566
Wyoming,      Accommodation and food services,36520
Wyoming,      Other services (except government and government enterprises),18596
Wyoming,    Government and government enterprises,73224
New England,Employment by place of work,
New England,Total employment (number of jobs),10309646
New England,By industry,
New England,  Farm employment,46942
New England,"      Forestry, fishing, and related activities",(D)
New England,"      Mining, quarrying, and oil and gas extraction",(D)
New England,      Utilities,(D)
New England,      Construction,572525
New England,      Manufacturing,624532
New England,      Wholesale trade,299808
New England,      Retail trade,949329
New England,      Transportation and warehousing,404091
New England,      Information,200823
New England,      Finance and insurance,712216
New England,      Real estate and rental and leasing,562412
New England,"      Professional, scientific, and technical services",922378
New England,      Management of companies and enterprises,152512
New England,      Administrative and support and waste management and remediation services,532654
New England,      Educational services,453286
New England,      Health care and social assistance,1383902
New England,"      Arts, entertainment, and recreation",242203
New England,      Accommodation and food services,656658
New England,      Other services (except government and government enterprises),496267
New England,    Government and government enterprises,1026056
Mideast,Employment by place of work,
Mideast,Total employment (number of jobs),32219083
Mideast,By industry,
Mideast,  Farm employment,157171
Mideast,"      Forestry, fishing, and related activities",(D)
Mideast,"      Mining, quarrying, and oil and gas extraction",53760
Mideast,      Utilities,95959
Mideast,      Construction,1526696
Mideast,      Manufacturing,(D)
Mideast,      Wholesale trade,953205
Mideast,      Retail trade,2752682
Mideast,      Transportation and warehousing,1739097
Mideast,      Information,651530
Mideast,      Finance and insurance,2348379
Mideast,      Real estate and rental and leasing,2004153
Mideast,"      Professional, scientific, and technical services",2748024
Mideast,      Management of companies and enterprises,477406
Mideast,      Administrative and support and waste management and remediation services,1751089
Mideast,      Educational services,1102541
Mideast,      Health care and social assistance,4261167
Mideast,"      Arts, entertainment, and recreation",729202
Mideast,      Accommodation and food services,1956198
Mideast,      Other services (except government and government enterprises),1714345
Mideast,    Government and government enterprises,3682100
Great Lakes,Employment by place of work,
Great Lakes,Total employment (number of jobs),29223389
Great Lakes,By industry,
Great Lakes,  Farm employment,360347
Great Lakes,"      Forestry, fishing, and related activities",(D)
Great Lakes,"      Mining, quarrying, and oil and gas extraction",(D)
Great Lakes,      Utilities,87896
Great Lakes,      Construction,1443942
Great Lakes,      Manufacturing,2992708
Great Lakes,      Wholesale trade,1058468
Great Lakes,      Retail trade,2737866
Great Lakes,      Transportation and warehousing,1656606
Great Lakes,      Information,387608
Great Lakes,      Finance and insurance,1699886
Great Lakes,      Real estate and rental and leasing,1385408
Great Lakes,"      Professional, scientific, and technical services",1913349
Great Lakes,      Management of companies and enterprises,439573
Great Lakes,      Administrative and support and waste management and remediation services,1777146
Great Lakes,      Educational services,617161
Great Lakes,      Health care and social assistance,3350475
Great Lakes,"      Arts, entertainment, and recreation",554700
Great Lakes,      Accommodation and food services,1950880
Great Lakes,      Other services (except government and government enterprises),1590982
Great Lakes,    Government and government enterprises,3077293
Plains,Employment by place of work,
Plains,Total employment (number of jobs),14483324
Plains,By industry,
Plains,  Farm employment,436411
Plains,"      Forestry, fishing, and related activities",81930
Plains,"      Mining, quarrying, and oil and gas extraction",79893
Plains,      Utilities,44723
Plains,      Construction,790548
Plains,      Manufacturing,1221580
Plains,      Wholesale trade,511624
Plains,      Retail trade,1389750
Plains,      Transportation and warehousing,687609
Plains,      Information,203020
Plains,      Finance and insurance,916708
Plains,      Real estate and rental and leasing,695698
Plains,"      Professional, scientific, and technical services",819431
Plains,      Management of companies and enterprises,245833
Plains,      Administrative and support and waste management and remediation services,676551
Plains,      Educational services,300697
Plains,      Health care and social assistance,1677067
Plains,"      Arts, entertainment, and recreation",278816
Plains,      Accommodation and food services,915602
Plains,      Other services (except government and government enterprises),733698
Plains,    Government and government enterprises,1776135
Southeast,Employment by place of work,
Southeast,Total employment (number of jobs),53607769
Southeast,By industry,
Southeast,  Farm employment,606945
Southeast,"      Forestry, fishing, and related activities",230421
Southeast,"      Mining, quarrying, and oil and gas extraction",169442
Southeast,      Utilities,145235
Southeast,      Construction,3193554
Southeast,      Manufacturing,3373978
Southeast,      Wholesale trade,1654479
Southeast,      Retail trade,5231540
Southeast,      Transportation and warehousing,2967065
Southeast,      Information,815985
Southeast,      Finance and insurance,3011012
Southeast,      Real estate and rental and leasing,3053720
Southeast,"      Professional, scientific, and technical services",3813635
Southeast,      Management of companies and enterprises,689891
Southeast,      Administrative and support and waste management and remediation services,3840141
Southeast,      Educational services,1003735
Southeast,      Health care and social assistance,5336284
Southeast,"      Arts, entertainment, and recreation",1109167
Southeast,      Accommodation and food services,3924578
Southeast,      Other services (except government and government enterprises),3198862
Southeast,    Government and government enterprises,6238100
Southwest,Employment by place of work,
Southwest,Total employment (number of jobs),27471405
Southwest,By industry,
Southwest,  Farm employment,411576
Southwest,"      Forestry, fishing, and related activities",100308
Southwest,"      Mining, quarrying, and oil and gas extraction",498729
Southwest,      Utilities,89624
Southwest,      Construction,1804594
Southwest,      Manufacturing,1382524
Southwest,      Wholesale trade,926010
Southwest,      Retail trade,2524523
Southwest,      Transportation and warehousing,1535404
Southwest,      Information,409098
Southwest,      Finance and insurance,1901399
Southwest,      Real estate and rental and leasing,1475625
Southwest,"      Professional, scientific, and technical services",1996089
Southwest,      Management of companies and enterprises,341216
Southwest,      Administrative and support and waste management and remediation services,1858879
Southwest,      Educational services,467863
Southwest,      Health care and social assistance,2666285
Southwest,"      Arts, entertainment, and recreation",457577
Southwest,      Accommodation and food services,1991750
Southwest,      Other services (except government and government enterprises),1506073
Southwest,    Government and government enterprises,3126259
Rocky Mountain,Employment by place of work,
Rocky Mountain,Total employment (number of jobs),8929322
Rocky Mountain,By industry,
Rocky Mountain,  Farm employment,154330
Rocky Mountain,"      Forestry, fishing, and related activities",44521
Rocky Mountain,"      Mining, quarrying, and oil and gas extraction",93356
Rocky Mountain,      Utilities,(D)
Rocky Mountain,      Construction,627461
Rocky Mountain,      Manufacturing,(D)
Rocky Mountain,      Wholesale trade,265096
Rocky Mountain,      Retail trade,823411
Rocky Mountain,      Transportation and warehousing,396959
Rocky Mountain,      Information,180019
Rocky Mountain,      Finance and insurance,583651
Rocky Mountain,      Real estate and rental and leasing,594807
Rocky Mountain,"      Professional, scientific, and technical services",759505
Rocky Mountain,      Management of companies and enterprises,108142
Rocky Mountain,      Administrative and support and waste management and remediation services,451518
Rocky Mountain,      Educational services,202563
Rocky Mountain,      Health care and social assistance,793734
Rocky Mountain,"      Arts, entertainment, and recreation",213754
Rocky Mountain,      Accommodation and food services,633537
Rocky Mountain,      Other services (except government and government enterprises),434932
Rocky Mountain,    Government and government enterprises,1095736
Far West,Employment by place of work,
Far West,Total employment (number of jobs),36198062
Far West,By industry,
Far West,  Farm employment,393278
Far West,"      Forestry, fishing, and related activities",351413
Far West,"      Mining, quarrying, and oil and gas extraction",81150
Far West,      Utilities,90352
Far West,      Construction,1908480
Far West,      Manufacturing,2013450
Far West,      Wholesale trade,1088610
Far West,      Retail trade,3101199
Far West,      Transportation and warehousing,2086669
Far West,      Information,1013817
Far West,      Finance and insurance,1809049
Far West,      Real estate and rental and leasing,2060377
Far West,"      Professional, scientific, and technical services",3005989
Far West,      Management of companies and enterprises,499227
Far West,      Administrative and support and waste management and remediation services,2170322
Far West,      Educational services,737854
Far West,      Health care and social assistance,4076586
Far West,"      Arts, entertainment, and recreation",871881
Far West,      Accommodation and food services,2721097
Far West,      Other services (except government and government enterprises),1940941
Far West,    Government and government enterprises,4176321