Full,Per_Capita_Income
United States,68531
Alabama,53175
Alaska,71616
Arizona,61652
Arkansas,54347
California,80423
Colorado,78918
Connecticut,87447
Delaware,65392
District of Columbia,100909
Florida,68248
Georgia,58581
Hawaii,65151
Idaho,59035
Illinois,70953
Indiana,60038
Iowa,62351
Kansas,63732
Kentucky,54326
Louisiana,57100
Maine,63117
Maryland,73849
Massachusetts,87812
Michigan,59714
Minnesota,71866
Mississippi,48110
Missouri,61302
Montana,63918
Nebraska,67800
Nevada,65168
New Hampshire,77260
New Jersey,80724
New Mexico,54428
New York,79581
North Carolina,60484
North Dakota,73341
Ohio,60402
Oklahoma,58499
Oregon,65426
Pennsylvania,67839
Rhode Island,66480
South Carolina,56123
South Dakota,70353
Tennessee,61049
Texas,65422
Utah,62823
Vermont,66463
Virginia,72855
Washington,79659
West Virginia,52585
Wisconsin,63963
Wyoming,77837