full,Manufacturing Share of Output
Massachusetts,9.72
Connecticut,10.85
New Jersey,9.47
California,12.32
Washington,8.6
New York,4.21
Colorado,6.58
Wyoming,6.49
New Hampshire,10
Maryland,6.31
North Dakota,7.3
Virginia,8.3
Minnesota,13.63
Alaska,2.69
Illinois,12.83
South Dakota,8.27
Florida,5.24
Pennsylvania,12.67
Nebraska,11.81
Rhode Island,7.59
Vermont,10.02
Oregon,13.76
Texas,11.91
Delaware,6.8
Nevada,5.3
Hawaii,1.63
Wisconsin,18.95
Montana,5.52
Kansas,15.04
Maine,10.02
Utah,11.59
Iowa,17.14
Arizona,8.51
Missouri,12.05
Tennessee,14.97
North Carolina,17.09
Ohio,16.01
Indiana,26.56
Michigan,17.98
Idaho,10.96
Georgia,9.35
Oklahoma,9.15
Louisiana,16.84
South Carolina,15.1
New Mexico,4.25
Arkansas,14.75
Kentucky,17.39
Alabama,16.21
West Virginia,9.36
Mississippi,14.67