State,Population
Alabama,"5,108,468"
Alaska,"733,406"
Arizona,"7,431,344"
Arkansas,"3,067,732"
California,"38,965,193"
Colorado,"5,877,610"
Connecticut,"3,617,176"
Delaware,"1,031,890"
District of Columbia,"678,972"
Florida,"22,610,726"
Georgia,"11,029,227"
Hawaii,"1,435,138"
Idaho,"1,964,726"
Illinois,"12,549,689"
Indiana,"6,862,199"
Iowa,"3,207,004"
Kansas,"2,940,546"
Kentucky,"4,526,154"
Louisiana,"4,573,749"
Maine,"1,395,722"
Maryland,"6,180,253"
Massachusetts,"7,001,399"
Michigan,"10,037,261"
Minnesota,"5,737,915"
Mississippi,"2,939,690"
Missouri,"6,196,156"
Montana,"1,132,812"
Nebraska,"1,978,379"
Nevada,"3,194,176"
New Hampshire,"1,402,054"
New Jersey,"9,290,841"
New Mexico,"2,114,371"
New York,"19,571,216"
North Carolina,"10,835,491"
North Dakota,"783,926"
Ohio,"11,785,935"
Oklahoma,"4,053,824"
Oregon,"4,233,358"
Pennsylvania,"12,961,683"
Rhode Island,"1,095,962"
South Carolina,"5,373,555"
South Dakota,"919,318"
Tennessee,"7,126,489"
Texas,"30,503,301"
Utah,"3,417,734"
Vermont,"647,464"
Virginia,"8,715,698"
Washington,"7,812,880"
West Virginia,"1,770,071"
Wisconsin,"5,910,955"
Wyoming,"584,057"